Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
6 bis 10 Arbeitnehmer;45;e;56984;e;347;e
11 bis 100 Arbeitnehmer;80;e;324275;e;2445;e
Über 100 Arbeitnehmer;13;e;380990;e;3670;e
Unbekannt oder kein Arbeitnehmer;699;e;569452;e;x;
Insgesamt;1057;e;1416239;e;6969;e
Februar;;;;;;
1 Arbeitnehmer;96;e;62399;e;96;e
2 bis 5 Arbeitnehmer;133;e;48628;e;430;e
6 bis 10 Arbeitnehmer;52;e;58843;e;416;e
11 bis 100 Arbeitnehmer;87;e;143497;e;2450;e
Über 100 Arbeitnehmer;8;e;336963;e;2965;e
Unbekannt oder kein Arbeitnehmer;756;e;431872;e;x;
Insgesamt;1132;e;1082203;e;6357;e
März;;;;;;
1 Arbeitnehmer;119;e;25562;e;119;e
2 bis 5 Arbeitnehmer;139;e;40093;e;454;e
6 bis 10 Arbeitnehmer;45;e;41578;e;353;e
11 bis 100 Arbeitnehmer;105;e;280852;e;2925;e
Über 100 Arbeitnehmer;11;e;372469;e;3934;e
Unbekannt oder kein Arbeitnehmer;875;e;604665;e;x;
Insgesamt;1294;e;1365220;e;7785;e
April;;;;;;
1 Arbeitnehmer;85;e;38769;e;85;e
2 bis 5 Arbeitnehmer;142;e;31729;e;442;e
6 bis 10 Arbeitnehmer;62;e;41052;e;484;e
11 bis 100 Arbeitnehmer;115;e;566485;e;3265;e
Über 100 Arbeitnehmer;11;e;323926;e;2501;e
Unbekannt oder kein Arbeitnehmer;833;e;387686;e;x;
Insgesamt;1248;e;1389647;e;6777;e
Mai;;;;;;
1 Arbeitnehmer;121;e;135060;e;121;e
2 bis 5 Arbeitnehmer;136;e;77284;e;423;e
6 bis 10 Arbeitnehmer;61;e;28206;e;444;e
11 bis 100 Arbeitnehmer;100;e;255903;e;2904;e
Über 100 Arbeitnehmer;13;e;252860;e;3052;e
Unbekannt oder kein Arbeitnehmer;811;e;1426461;e;x;
Insgesamt;1242;e;2175773;e;6944;e
Juni;;;;;;
1 Arbeitnehmer;95;e;32136;e;95;e
2 bis 5 Arbeitnehmer;139;e;35847;e;451;e
6 bis 10 Arbeitnehmer;60;e;33674;e;455;e
11 bis 100 Arbeitnehmer;80;e;125968;e;2544;e
Über 100 Arbeitnehmer;6;e;71186;e;1800;e
Unbekannt oder kein Arbeitnehmer;760;e;456102;e;x;
Insgesamt;1140;e;754915;e;5345;e
Juli;;;;;;
1 Arbeitnehmer;100;e;15074;e;100;e
2 bis 5 Arbeitnehmer;139;e;38885;e;438;e
6 bis 10 Arbeitnehmer;59;e;46576;e;447;e
11 bis 100 Arbeitnehmer;84;e;117355;e;2318;e
Über 100 Arbeitnehmer;10;e;74678;e;1534;e
Unbekannt oder kein Arbeitnehmer;762;e;465307;e;x;
Insgesamt;1154;e;757876;e;4837;e
August;;;;;;
1 Arbeitnehmer;90;e;58942;e;90;e
2 bis 5 Arbeitnehmer;122;e;25164;e;391;e
6 bis 10 Arbeitnehmer;58;e;26144;e;446;e
11 bis 100 Arbeitnehmer;88;e;292540;e;2767;e
Über 100 Arbeitnehmer;9;e;43798;e;1509;e
Unbekannt oder kein Arbeitnehmer;780;e;391797;e;x;
Insgesamt;1147;e;838385;e;5203;e
September;;;;;;
1 Arbeitnehmer;103;e;166357;e;103;e
2 bis 5 Arbeitnehmer;169;e;59219;e;542;e
6 bis 10 Arbeitnehmer;66;e;35817;e;502;e
11 bis 100 Arbeitnehmer;109;e;197797;e;2874;e
Über 100 Arbeitnehmer;13;e;168315;e;2932;e
Unbekannt oder kein Arbeitnehmer;769;e;406977;e;x;
Insgesamt;1229;e;1034483;e;6953;e
Oktober;;;;;;
1 Arbeitnehmer;122;e;17113;e;122;e
2 bis 5 Arbeitnehmer;156;e;71123;e;476;e
6 bis 10 Arbeitnehmer;51;e;29729;e;398;e
11 bis 100 Arbeitnehmer;113;e;222319;e;3001;e
Über 100 Arbeitnehmer;11;e;182039;e;2326;e
Unbekannt oder kein Arbeitnehmer;792;e;280262;e;x;
Insgesamt;1245;e;802585;e;6323;e
November;;;;;;
1 Arbeitnehmer;106;e;29480;e;106;e
2 bis 5 Arbeitnehmer;167;e;73130;e;543;e
