Datum,Jahr,Monat,Monatsnummer,Groessenklasse,Insolvenzen,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2023-08,2023,August,8,Über 100 Arbeitnehmer,19,723215,6218.0
2023-08,2023,August,8,Unbekannt oder kein Arbeitnehmer,965,451835,
2023-09,2023,September,9,1 Arbeitnehmer,102,26497,102.0
2023-09,2023,September,9,2 bis 5 Arbeitnehmer,206,62576,638.0
2023-09,2023,September,9,6 bis 10 Arbeitnehmer,78,77792,601.0
2023-09,2023,September,9,11 bis 100 Arbeitnehmer,181,372091,5519.0
2023-09,2023,September,9,Über 100 Arbeitnehmer,30,632546,6415.0
2023-09,2023,September,9,Unbekannt oder kein Arbeitnehmer,960,1099255,
2023-10,2023,Oktober,10,1 Arbeitnehmer,128,29249,128.0
2023-10,2023,Oktober,10,2 bis 5 Arbeitnehmer,197,80080,600.0
2023-10,2023,Oktober,10,6 bis 10 Arbeitnehmer,81,37444,633.0
2023-10,2023,Oktober,10,11 bis 100 Arbeitnehmer,190,624685,5396.0
2023-10,2023,Oktober,10,Über 100 Arbeitnehmer,18,230505,3002.0
2023-10,2023,Oktober,10,Unbekannt oder kein Arbeitnehmer,867,574897,
2023-11,2023,November,11,1 Arbeitnehmer,118,33584,118.0
2023-11,2023,November,11,2 bis 5 Arbeitnehmer,218,69406,665.0
2023-11,2023,November,11,6 bis 10 Arbeitnehmer,90,45133,687.0
2023-11,2023,November,11,11 bis 100 Arbeitnehmer,156,361988,4680.0
2023-11,2023,November,11,Über 100 Arbeitnehmer,12,394496,5723.0
2023-11,2023,November,11,Unbekannt oder kein Arbeitnehmer,919,598631,
2023-12,2023,Dezember,12,1 Arbeitnehmer,129,41590,129.0
2023-12,2023,Dezember,12,2 bis 5 Arbeitnehmer,196,420182,620.0
2023-12,2023,Dezember,12,6 bis 10 Arbeitnehmer,92,483031,711.0
2023-12,2023,Dezember,12,11 bis 100 Arbeitnehmer,180,360219,5314.0
2023-12,2023,Dezember,12,Über 100 Arbeitnehmer,17,143947,5886.0
2023-12,2023,Dezember,12,Unbekannt oder kein Arbeitnehmer,936,977688,
2024-01,2024,Januar,1,1 Arbeitnehmer,126,109721,126.0
2024-01,2024,Januar,1,2 bis 5 Arbeitnehmer,179,330533,576.0
2024-01,2024,Januar,1,6 bis 10 Arbeitnehmer,108,60565,810.0
2024-01,2024,Januar,1,11 bis 100 Arbeitnehmer,165,643736,4546.0
2024-01,2024,Januar,1,Über 100 Arbeitnehmer,28,1355168,13437.0
2024-01,2024,Januar,1,Unbekannt oder kein Arbeitnehmer,1016,1038867,
2024-02,2024,Februar,2,1 Arbeitnehmer,135,40007,135.0
2024-02,2024,Februar,2,2 bis 5 Arbeitnehmer,203,158947,642.0
2024-02,2024,Februar,2,6 bis 10 Arbeitnehmer,108,81844,812.0
2024-02,2024,Februar,2,11 bis 100 Arbeitnehmer,205,408222,6149.0
2024-02,2024,Februar,2,Über 100 Arbeitnehmer,22,262565,8314.0
2024-02,2024,Februar,2,Unbekannt oder kein Arbeitnehmer,1112,3127731,
2024-03,2024,März,3,1 Arbeitnehmer,122,55739,122.0
2024-03,2024,März,3,2 bis 5 Arbeitnehmer,191,109615,598.0
2024-03,2024,März,3,6 bis 10 Arbeitnehmer,112,72500,856.0
2024-03,2024,März,3,11 bis 100 Arbeitnehmer,202,439669,6004.0
2024-03,2024,März,3,Über 100 Arbeitnehmer,14,363445,4076.0
2024-03,2024,März,3,Unbekannt oder kein Arbeitnehmer,1161,2628761,
2024-04,2024,April,4,1 Arbeitnehmer,144,56578,144.0
2024-04,2024,April,4,2 bis 5 Arbeitnehmer,206,124653,654.0
2024-04,2024,April,4,6 bis 10 Arbeitnehmer,102,108140,791.0
2024-04,2024,April,4,11 bis 100 Arbeitnehmer,244,564626,6860.0
2024-04,2024,April,4,Über 100 Arbeitnehmer,35,4670566,24108.0
2024-04,2024,April,4,Unbekannt oder kein Arbeitnehmer,1175,5902546,
2024-05,2024,Mai,5,1 Arbeitnehmer,136,144079,136.0
2024-05,2024,Mai,5,2 bis 5 Arbeitnehmer,233,105826,771.0
2024-05,2024,Mai,5,6 bis 10 Arbeitnehmer,109,197053,858.0
2024-05,2024,Mai,5,11 bis 100 Arbeitnehmer,205,589631,5913.0
2024-05,2024,Mai,5,Über 100 Arbeitnehmer,24,458686,7095.0
2024-05,2024,Mai,5,Unbekannt oder kein Arbeitnehmer,1227,1943350,
2024-06,2024,Juni,6,1 Arbeitnehmer,107,75517,107.0
2024-06,2024,Juni,6,2 bis 5 Arbeitnehmer,193,62903,630.0
2024-06,2024,Juni,6,6 bis 10 Arbeitnehmer,84,61775,659.0
2024-06,2024,Juni,6,11 bis 100 Arbeitnehmer,136,589333,3960.0
2024-06,2024,Juni,6,Über 100 Arbeitnehmer,13,400010,5467.0
2024-06,2024,Juni,6,Unbekannt oder kein Arbeitnehmer,1120,5098173,
2024-07,2024,Juli,7,1 Arbeitnehmer,142,167200,142.0
2024-07,2024,Juli,7,2 bis 5 Arbeitnehmer,225,256784,729.0
2024-07,2024,Juli,7,6 bis 10 Arbeitnehmer,120,191217,935.0
2024-07,2024,Juli,7,11 bis 100 Arbeitnehmer,174,370994,5335.0
2024-07,2024,Juli,7,Über 100 Arbeitnehmer,20,255879,4909.0
2024-07,2024,Juli,7,Unbekannt oder kein Arbeitnehmer,1256,1959438,
2024-08,2024,August,8,1 Arbeitnehmer,124,83088,124.0
2024-08,2024,August,8,2 bis 5 Arbeitnehmer,211,62479,699.0
2024-08,2024,August,8,6 bis 10 Arbeitnehmer,109,117719,821.0
2024-08,2024,August,8,11 bis 100 Arbeitnehmer,181,350873,5050.0
2024-08,2024,August,8,Über 100 Arbeitnehmer,18,468184,5403.0
2024-08,2024,August,8,Unbekannt oder kein Arbeitnehmer,1121,1265254,
2024-09,2024,September,9,1 Arbeitnehmer,122,797707,122.0
2024-09,2024,September,9,2 bis 5 Arbeitnehmer,211,85838,657.0
2024-09,2024,September,9,6 bis 10 Arbeitnehmer,100,102263,776.0
2024-09,2024,September,9,11 bis 100 Arbeitnehmer,171,2032101,4842.0
2024-09,2024,September,9,Über 100 Arbeitnehmer,23,3402451,11711.0
2024-09,2024,September,9,Unbekannt oder kein Arbeitnehmer,1192,1232235,
2024-10,2024,Oktober,10,1 Arbeitnehmer,158,126259,158.0
2024-10,2024,Oktober,10,2 bis 5 Arbeitnehmer,239,108176,798.0
2024-10,2024,Oktober,10,6 bis 10 Arbeitnehmer,142,110935,1071.0
2024-10,2024,Oktober,10,11 bis 100 Arbeitnehmer,216,687191,5750.0
2024-10,2024,Oktober,10,Über 100 Arbeitnehmer,17,454959,3789.0
