Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt,mangel_ratio,Aktive_Unternehmen,Insolvenzrate_Pct
2020-09,2020,September,9,WZ08-S,Erbringung von sonstigen Dienstleistungen,35.0,18.0,53.0,51.4,233493.0,0.015
2020-10,2020,Oktober,10,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0,16.7,,
2020-10,2020,Oktober,10,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-10,2020,Oktober,10,WZ08-C,Verarbeitendes Gewerbe,85.0,12.0,97.0,14.1,230421.0,0.0369
2020-10,2020,Oktober,10,WZ08-D,Energieversorgung,3.0,2.0,5.0,66.7,71592.0,0.0042
2020-10,2020,Oktober,10,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,3.0,4.0,300.0,13195.0,0.0076
2020-10,2020,Oktober,10,WZ08-F,Baugewerbe,102.0,68.0,170.0,66.7,390108.0,0.0261
2020-10,2020,Oktober,10,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",82.0,52.0,134.0,63.4,680939.0,0.012
2020-10,2020,Oktober,10,WZ08-H,Verkehr und Lagerei,41.0,22.0,63.0,53.7,122113.0,0.0336
2020-10,2020,Oktober,10,WZ08-I,Gastgewerbe,86.0,34.0,120.0,39.5,249623.0,0.0345
2020-10,2020,Oktober,10,WZ08-J,Information und Kommunikation,20.0,14.0,34.0,70.0,141586.0,0.0141
2020-10,2020,Oktober,10,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,14.0,13.0,27.0,92.9,90990.0,0.0154
2020-10,2020,Oktober,10,WZ08-L,Grundstücks- und Wohnungswesen,17.0,8.0,25.0,47.1,209412.0,0.0081
2020-10,2020,Oktober,10,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",72.0,45.0,117.0,62.5,522619.0,0.0138
2020-10,2020,Oktober,10,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,88.0,46.0,134.0,52.3,238577.0,0.0369
2020-10,2020,Oktober,10,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-10,2020,Oktober,10,WZ08-P,Erziehung und Unterricht,5.0,5.0,10.0,100.0,95206.0,0.0053
2020-10,2020,Oktober,10,WZ08-Q,Gesundheits- und Sozialwesen,24.0,6.0,30.0,25.0,269714.0,0.0089
2020-10,2020,Oktober,10,WZ08-R,"Kunst, Unterhaltung und Erholung",14.0,9.0,23.0,64.3,106340.0,0.0132
2020-10,2020,Oktober,10,WZ08-S,Erbringung von sonstigen Dienstleistungen,56.0,28.0,84.0,50.0,233493.0,0.024
2020-11,2020,November,11,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0,16.7,,
2020-11,2020,November,11,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,,2348.0,0.0426
2020-11,2020,November,11,WZ08-C,Verarbeitendes Gewerbe,62.0,11.0,73.0,17.7,230421.0,0.0269
2020-11,2020,November,11,WZ08-D,Energieversorgung,3.0,,,,71592.0,0.0042
2020-11,2020,November,11,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,1.0,4.0,33.3,13195.0,0.0227
2020-11,2020,November,11,WZ08-F,Baugewerbe,104.0,58.0,162.0,55.8,390108.0,0.0267
2020-11,2020,November,11,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",104.0,50.0,154.0,48.1,680939.0,0.0153
2020-11,2020,November,11,WZ08-H,Verkehr und Lagerei,56.0,10.0,66.0,17.9,122113.0,0.0459
2020-11,2020,November,11,WZ08-I,Gastgewerbe,94.0,37.0,131.0,39.4,249623.0,0.0377
2020-11,2020,November,11,WZ08-J,Information und Kommunikation,19.0,12.0,31.0,63.2,141586.0,0.0134
2020-11,2020,November,11,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,20.0,11.0,31.0,55.0,90990.0,0.022
2020-11,2020,November,11,WZ08-L,Grundstücks- und Wohnungswesen,19.0,8.0,27.0,42.1,209412.0,0.0091
2020-11,2020,November,11,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",72.0,50.0,122.0,69.4,522619.0,0.0138
2020-11,2020,November,11,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,68.0,41.0,109.0,60.3,238577.0,0.0285
2020-11,2020,November,11,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-11,2020,November,11,WZ08-P,Erziehung und Unterricht,7.0,5.0,12.0,71.4,95206.0,0.0074
2020-11,2020,November,11,WZ08-Q,Gesundheits- und Sozialwesen,17.0,5.0,22.0,29.4,269714.0,0.0063
2020-11,2020,November,11,WZ08-R,"Kunst, Unterhaltung und Erholung",23.0,11.0,34.0,47.8,106340.0,0.0216
2020-11,2020,November,11,WZ08-S,Erbringung von sonstigen Dienstleistungen,36.0,21.0,57.0,58.3,233493.0,0.0154
2020-12,2020,Dezember,12,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0,16.7,,
2020-12,2020,Dezember,12,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-12,2020,Dezember,12,WZ08-C,Verarbeitendes Gewerbe,109.0,12.0,121.0,11.0,230421.0,0.0473
2020-12,2020,Dezember,12,WZ08-D,Energieversorgung,9.0,3.0,12.0,33.3,71592.0,0.0126
2020-12,2020,Dezember,12,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,2.0,5.0,66.7,13195.0,0.0227
2020-12,2020,Dezember,12,WZ08-F,Baugewerbe,120.0,60.0,180.0,50.0,390108.0,0.0308
2020-12,2020,Dezember,12,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",103.0,55.0,158.0,53.4,680939.0,0.0151
2020-12,2020,Dezember,12,WZ08-H,Verkehr und Lagerei,63.0,21.0,84.0,33.3,122113.0,0.0516
2020-12,2020,Dezember,12,WZ08-I,Gastgewerbe,83.0,35.0,118.0,42.2,249623.0,0.0333
2020-12,2020,Dezember,12,WZ08-J,Information und Kommunikation,28.0,14.0,42.0,50.0,141586.0,0.0198
