Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt
2020-07,2020,Juli,7,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,20.0,39.0
2020-07,2020,Juli,7,WZ08-L,Grundstücks- und Wohnungswesen,23.0,19.0,42.0
2020-07,2020,Juli,7,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",115.0,67.0,182.0
2020-07,2020,Juli,7,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,103.0,36.0,139.0
2020-07,2020,Juli,7,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-07,2020,Juli,7,WZ08-P,Erziehung und Unterricht,4.0,4.0,8.0
2020-07,2020,Juli,7,WZ08-Q,Gesundheits- und Sozialwesen,29.0,3.0,32.0
2020-07,2020,Juli,7,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,14.0,33.0
2020-07,2020,Juli,7,WZ08-S,Erbringung von sonstigen Dienstleistungen,39.0,10.0,49.0
2020-08,2020,August,8,WZ08-A,"Land- und Forstwirtschaft, Fischerei",4.0,3.0,7.0
2020-08,2020,August,8,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,2.0,,
2020-08,2020,August,8,WZ08-C,Verarbeitendes Gewerbe,60.0,14.0,74.0
2020-08,2020,August,8,WZ08-D,Energieversorgung,5.0,2.0,7.0
2020-08,2020,August,8,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,,
2020-08,2020,August,8,WZ08-F,Baugewerbe,114.0,59.0,173.0
2020-08,2020,August,8,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",101.0,64.0,165.0
2020-08,2020,August,8,WZ08-H,Verkehr und Lagerei,36.0,20.0,56.0
2020-08,2020,August,8,WZ08-I,Gastgewerbe,71.0,52.0,123.0
2020-08,2020,August,8,WZ08-J,Information und Kommunikation,23.0,11.0,34.0
2020-08,2020,August,8,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,21.0,10.0,31.0
2020-08,2020,August,8,WZ08-L,Grundstücks- und Wohnungswesen,18.0,13.0,31.0
2020-08,2020,August,8,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",56.0,47.0,103.0
2020-08,2020,August,8,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,81.0,48.0,129.0
2020-08,2020,August,8,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-08,2020,August,8,WZ08-P,Erziehung und Unterricht,5.0,5.0,10.0
2020-08,2020,August,8,WZ08-Q,Gesundheits- und Sozialwesen,23.0,6.0,29.0
2020-08,2020,August,8,WZ08-R,"Kunst, Unterhaltung und Erholung",11.0,11.0,22.0
2020-08,2020,August,8,WZ08-S,Erbringung von sonstigen Dienstleistungen,31.0,21.0,52.0
2020-09,2020,September,9,WZ08-A,"Land- und Forstwirtschaft, Fischerei",7.0,1.0,8.0
2020-09,2020,September,9,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-09,2020,September,9,WZ08-C,Verarbeitendes Gewerbe,80.0,15.0,95.0
2020-09,2020,September,9,WZ08-D,Energieversorgung,3.0,1.0,4.0
2020-09,2020,September,9,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,5.0,7.0
2020-09,2020,September,9,WZ08-F,Baugewerbe,98.0,50.0,148.0
2020-09,2020,September,9,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",97.0,45.0,142.0
2020-09,2020,September,9,WZ08-H,Verkehr und Lagerei,54.0,19.0,73.0
2020-09,2020,September,9,WZ08-I,Gastgewerbe,86.0,38.0,124.0
2020-09,2020,September,9,WZ08-J,Information und Kommunikation,26.0,9.0,35.0
2020-09,2020,September,9,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,13.0,13.0,26.0
2020-09,2020,September,9,WZ08-L,Grundstücks- und Wohnungswesen,26.0,13.0,39.0
2020-09,2020,September,9,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",63.0,48.0,111.0
2020-09,2020,September,9,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,94.0,43.0,137.0
2020-09,2020,September,9,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-09,2020,September,9,WZ08-P,Erziehung und Unterricht,9.0,,
2020-09,2020,September,9,WZ08-Q,Gesundheits- und Sozialwesen,19.0,2.0,21.0
2020-09,2020,September,9,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,14.0,33.0
2020-09,2020,September,9,WZ08-S,Erbringung von sonstigen Dienstleistungen,35.0,18.0,53.0
2020-10,2020,Oktober,10,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0
2020-10,2020,Oktober,10,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,
2020-10,2020,Oktober,10,WZ08-C,Verarbeitendes Gewerbe,85.0,12.0,97.0
2020-10,2020,Oktober,10,WZ08-D,Energieversorgung,3.0,2.0,5.0
2020-10,2020,Oktober,10,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,3.0,4.0
2020-10,2020,Oktober,10,WZ08-F,Baugewerbe,102.0,68.0,170.0
2020-10,2020,Oktober,10,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",82.0,52.0,134.0
2020-10,2020,Oktober,10,WZ08-H,Verkehr und Lagerei,41.0,22.0,63.0
2020-10,2020,Oktober,10,WZ08-I,Gastgewerbe,86.0,34.0,120.0
2020-10,2020,Oktober,10,WZ08-J,Information und Kommunikation,20.0,14.0,34.0
2020-10,2020,Oktober,10,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,14.0,13.0,27.0
2020-10,2020,Oktober,10,WZ08-L,Grundstücks- und Wohnungswesen,17.0,8.0,25.0
2020-10,2020,Oktober,10,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",72.0,45.0,117.0
2020-10,2020,Oktober,10,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,88.0,46.0,134.0
2020-10,2020,Oktober,10,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,
2020-10,2020,Oktober,10,WZ08-P,Erziehung und Unterricht,5.0,5.0,10.0
2020-10,2020,Oktober,10,WZ08-Q,Gesundheits- und Sozialwesen,24.0,6.0,30.0
2020-10,2020,Oktober,10,WZ08-R,"Kunst, Unterhaltung und Erholung",14.0,9.0,23.0
