Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2024-12,2024,Dezember,12,Brandenburg,55.0,111.5,36025.0,629.0
2024-12,2024,Dezember,12,Bremen,12.0,-25.0,5807.0,46.0
2024-12,2024,Dezember,12,Hamburg,82.0,10.8,91636.0,493.0
2024-12,2024,Dezember,12,Hessen,158.0,35.0,627266.0,711.0
2024-12,2024,Dezember,12,Mecklenburg-Vorpommern,14.0,-26.3,9330.0,156.0
2024-12,2024,Dezember,12,Niedersachsen,133.0,4.7,1528904.0,896.0
2024-12,2024,Dezember,12,Nordrhein-Westfalen,479.0,34.2,1185732.0,3773.0
2024-12,2024,Dezember,12,Rheinland-Pfalz,71.0,9.2,56087.0,412.0
2024-12,2024,Dezember,12,Saarland,14.0,-12.5,3629.0,12.0
2024-12,2024,Dezember,12,Sachsen,72.0,5.9,437198.0,209.0
2024-12,2024,Dezember,12,Sachsen-Anhalt,30.0,-3.2,20896.0,308.0
2024-12,2024,Dezember,12,Schleswig-Holstein,67.0,39.6,60850.0,1408.0
2024-12,2024,Dezember,12,Thüringen,17.0,-32.0,13578.0,64.0
2025-01,2025,Januar,1,Baden-Württemberg,201.0,10.4,273850.0,1753.0
2025-01,2025,Januar,1,Bayern,276.0,28.4,3533198.0,4330.0
2025-01,2025,Januar,1,Berlin,163.0,0.6,235245.0,1070.0
2025-01,2025,Januar,1,Brandenburg,41.0,7.9,15667.0,233.0
2025-01,2025,Januar,1,Bremen,15.0,7.1,8897.0,55.0
2025-01,2025,Januar,1,Hamburg,58.0,-12.1,36485.0,201.0
2025-01,2025,Januar,1,Hessen,129.0,34.4,147149.0,502.0
2025-01,2025,Januar,1,Mecklenburg-Vorpommern,31.0,-8.8,20880.0,177.0
2025-01,2025,Januar,1,Niedersachsen,137.0,4.6,189223.0,854.0
2025-01,2025,Januar,1,Nordrhein-Westfalen,487.0,16.8,633339.0,2877.0
2025-01,2025,Januar,1,Rheinland-Pfalz,79.0,27.4,39658.0,439.0
2025-01,2025,Januar,1,Saarland,16.0,-30.4,3381.0,56.0
2025-01,2025,Januar,1,Sachsen,60.0,-10.4,45480.0,144.0
2025-01,2025,Januar,1,Sachsen-Anhalt,22.0,-4.3,10404.0,115.0
2025-01,2025,Januar,1,Schleswig-Holstein,72.0,5.9,99192.0,785.0
2025-01,2025,Januar,1,Thüringen,43.0,79.2,42172.0,336.0
2025-02,2025,Februar,2,Baden-Württemberg,271.0,29.7,482092.0,4246.0
2025-02,2025,Februar,2,Bayern,288.0,12.5,6556155.0,2305.0
2025-02,2025,Februar,2,Berlin,178.0,2.9,314589.0,940.0
2025-02,2025,Februar,2,Brandenburg,35.0,-2.8,14537.0,67.0
2025-02,2025,Februar,2,Bremen,9.0,-35.7,3211.0,59.0
2025-02,2025,Februar,2,Hamburg,75.0,11.9,160281.0,237.0
2025-02,2025,Februar,2,Hessen,175.0,31.6,339838.0,878.0
2025-02,2025,Februar,2,Mecklenburg-Vorpommern,24.0,,43098.0,306.0
2025-02,2025,Februar,2,Niedersachsen,171.0,32.6,187764.0,2443.0
2025-02,2025,Februar,2,Nordrhein-Westfalen,532.0,16.7,549022.0,3509.0
2025-02,2025,Februar,2,Rheinland-Pfalz,87.0,13.0,90322.0,784.0
2025-02,2025,Februar,2,Saarland,12.0,-47.8,2272.0,17.0
2025-02,2025,Februar,2,Sachsen,84.0,10.5,97381.0,2521.0
2025-02,2025,Februar,2,Sachsen-Anhalt,33.0,65.0,48281.0,248.0
2025-02,2025,Februar,2,Schleswig-Holstein,72.0,14.3,118412.0,1118.0
